"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 09 21:03:54 CST 2023","Thu Nov 09 21:03:54 CST 2023","0","81_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 18:01:20 CST 2023","Thu Nov 09 18:01:20 CST 2023","0","164_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 20:46:18 CST 2023","Thu Nov 09 20:46:18 CST 2023","1","355_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 18:01:30 CST 2023","Thu Nov 09 18:01:30 CST 2023","0","20_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 11:44:00 CST 2023","Thu Nov 09 11:44:00 CST 2023","0","681_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 19:41:19 CST 2023","Thu Nov 09 19:41:19 CST 2023","0","771_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 15:30:22 CST 2023","Thu Nov 09 15:30:22 CST 2023","0","757_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 20:50:22 CST 2023","Thu Nov 09 20:50:22 CST 2023","0","166_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 19:26:00 CST 2023","Thu Nov 09 19:26:00 CST 2023","0","575_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Wed Oct 18 23:04:58 CST 2023","Wed Oct 18 23:04:58 CST 2023","0","307_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 20:20:32 CST 2023","Thu Nov 09 20:20:32 CST 2023","0","53_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 22:46:15 CST 2023","Thu Nov 09 22:46:15 CST 2023","0","608_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 18:50:10 CST 2023","Thu Nov 09 18:50:10 CST 2023","0","870_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 15:19:59 CST 2023","Thu Nov 09 15:19:59 CST 2023","0","68_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 20:22:47 CST 2023","Thu Nov 09 20:22:47 CST 2023","0","351_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 11:43:31 CST 2023","Thu Nov 09 11:43:31 CST 2023","0","672_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"passed","Thu Nov 09 22:34:56 CST 2023","Thu Nov 09 22:35:22 CST 2023","26220","177_testcase","test_login","TestLogin","","","首页上滑T9Y0221C09002076","首页上滑"
"passed","Thu Oct 19 16:53:12 CST 2023","Thu Oct 19 16:53:30 CST 2023","17199","891_testcase","test_login","TestLogin","","","首页上滑127.0.0.1:62001","首页上滑"
